author,editor,title,type,keyword,year,edition,uid,language,pages,publisher,isbn,note,series
"Schwartz, Randal L. 1961-",,Einführung in Perl,book,Perl,1995,1. Aufl.,b3kat_BV010120101,,"XXX, 258 S.","Bonn : O'Reilly, Thomson",3930673088,,A Nutshell handbook
"Wall, Larry 1954-","Christiansen, Tom 1963-; Orwant, Jon",Programmieren mit Perl,book,Perl,2003,"2. Aufl., korr. Nachdr.",b3kat_BV017129122,ger,"XXXII, 1095 S.; Ill.",Beijing [u.a.] : O'Reilly,3897211440,Dt. Ausg. der 3. Aufl. des engl. Originals,
"Schwartz, Randal L. 1961-",,Einführung in Perl,book,Perl,1996,"1., überarb. und korrigierter Nachdr.",b3kat_BV023767100,,"XXX, 272 S.",Bonn : O'Reilly,3930673088,,A nutshell handbook
"McMillan, Michael",,"Perl from the ground up : [covers Perl for UNIX, Windows 95 & Windows NT environments]",book,Perl,1998,,b3kat_BV023769125,,"XXIII, 520 S.","Berkeley, Calif. [u.a.] : Osborne",0078824044,,
"Hall, Joseph N.","Schwartz, Randal L. 1961-",Effective Perl programming : writing better programs with Perl,book,Perl,1998,2. printing,b3kat_BV023787876,,"XIV, 273 S.","Reading, Mass. [u.a.] : Addison-Wesley",0201419750,,
,"Boutell, Thomas",CGI programming in C & Perl : [featuring C and Perl 5 source code],book,Perl; CGI; World Wide Web,,,b3kat_BV023814904,,,"Reading, Mass. [u.a.] : Addison-Wesley",,,
"Quigley, Ellen",,Beispielhaft in Perl programmieren,book,Perl,1995,,b3kat_BV023689071,,"350 S.; 1 Diskette (3,5)̋; 23 cm",München ; London ; Mexiko City ; New York ; Singapur ; Sydney ; Toronto : Prentice Hall,382729505X,,
"Schwartz, Randal L. 1961-","Foy, Brian D.; Phoenix, Tom",Einführung in Perl : [behandelt Perl 5.10],book,Perl 5.10; Perl; Perl 5.10,2009,"5. Aufl., dt. Ausg.",b3kat_BV035455250,,364 S.; graph. Darst.,Beijing [u.a.] : O'Reilly,9783897218871,,
,"Orwant, Jon","Games, diversions, and Perl culture",book,Perl; Aufsatzsammlung,2003,1. ed.,b3kat_BV023792668,,"XIII, 569 S.; Ill., graph. Darst.; 24 cm",Beijing [u.a.] : O'Reilly,0596003129,,Best of the Perl journal
,"Irving, Clay; Patwardhan, Nathan",Programmieren mit Perl-Modulen,combination,Perl; Modul,,,b3kat_BV023548724,,,Köln : O'Reilly,,Teilausg.,
"Vromans, Johan",,Perl 5 : kurz & gut,book,Perl; Perl 5; Befehlsvorrat; Verzeichnis,1999,2. Aufl.,b3kat_BV025114420,,70 S.,Köln [u.a.] : OR̀eilly,3897212013,,OR̀eillys Taschenbibliothek
"Wall, Larry","Christiansen, Tom; Orwant, Jon",Programmieren mit Perl,book,Perl; Perl 5.6,2001,2. Aufl,gbv_083500081,ger,"XXXII, 1094 S; Ill.; Ill; 23 cm",Beijing [u.a.] : O'Reilly,3897211440,,
"Orwant, Jon","Hietaniemi, Jarkko; Macdonald, John",Algorithmen mit Perl,book,Datenstruktur; Algorithmus; Programmierung; Perl,2000,"1. Aufl., dt. Ausg",gbv_311074308,ger,"XV, 700 S; Ill., graph. Darst",Beijing [u.a.] : O'Reilly,3897211416,Aus d. Amerik. übers; Literaturverz. S. 661 - 663,
"Müller, Udo",,"Der Perl-Kurs : [die wichtigsten Module im Überblick, zahlreiche nützliche Programmbeispiele, CD mit Perl-Lernkurs, Werkzeugen & Bibliotheken]",book,Perl,2000,1. Aufl.,b3kat_BV012924314,,856 S.; Ill.; 1 CD-ROM (12 cm),Bonn : MITP-Verl.,3826605233,,
"Guelich, Scott","Birznieks, Gunther; Gundavaram, Shishir",CGI-Programmierung mit Perl,book,CGI; Perl; World Wide Web; CGI,2001,2. Aufl.,b3kat_BV013431093,ger,"XIV, 484 S.; Ill., graph. Darst.",Beijing [u.a.] : O'Reilly,389721167X,"Frühere Ausg. u.d.T.: Gundavaram, Shishir: CGI-Programmierung im World Wide Web",
"Patwardhan, Nathan","Irving, Clay",Programmieren mit Perl-Modulen,book,Perl,1999,1. Aufl.,b3kat_BV012327866,,"XVI, 522 S.; graph. Darst.; CD-ROM (12 cm)",Beijing [u.a.] : O'Reilly,3897211084,,
"Hall, Joseph N.","Schwartz, Randal L. 1961-",Effective Perl programming : writing better programs with Perl,book,Perl,1998,1. print.,b3kat_BV011931750,,"XIV, 273 S.","Reading, Mass. [u.a.] : Addison-Wesley",0201419750,,
"Schwartz, Randal L. 1961-","Christiansen, Tom",Einführung in Perl,book,Perl,2000,"2. Aufl., 4. korr. Nachdr.",b3kat_BV013341098,,"XXIX, 287 S.",Beijing [u.a.] : O'Reilly,389721105X,,
"Jellinek, Brigitte","Haemmerle-Uhl, Jutta","Perl : [leicht, klar, sofort]",book,Perl,2001,,b3kat_BV013927306,,334 S.; Ill. : 24 cm,München : Markt-und-Technik-Verl.,3827261538,,M & T easy
"Meltzer, Kevin","Michalski, Brent",CGI-Anwendungen mit Perl,book,CGI; Perl; Dynamische Web-Seite; CGI; Perl,2001,,b3kat_BV013973448,ger,500 S.; Ill.,München [u.a.] : Addison-Wesley,3827318963,,net.com
"Jepson, Brian",,Perl utilities guide,book,Perl; Perl; Dienstprogramm,1998,1. ed.,b3kat_BV012833423,,"XI, 279 S.; Ill.",Cambridge [u.a.] : O'Reilly,,,Perl resource kit [1]
"Olson, Erik",,Programming with perl modules,book,Perl,1998,1. ed.,b3kat_BV012833427,,"XIII, 355 S.; Ill.",Cambridge [u.a.] : O'Reilly,,,Perl resource kit [2]
"Roßner, Thorsten",,Das Einsteigerseminar Perl : [der methodische und ausführliche Einstieg ; über 390 Seiten Einsteiger-Know-how ; mit großem CGI-Teil],book,Perl,1998,3. Aufl.,b3kat_BV012911066,,"404 S.; Ill., graph. Darst.",Kaarst : bhv,3828710328,,Das Einsteigerseminar
"Foster-Johnson, Eric",,Perl-Module : effektiver programmieren mit dem CPAN-Archiv,book,Perl,1999,1. Aufl.,b3kat_BV012812977,ger,400 S.; Ill.; CD-ROM (12 cm),Bonn : MITP,3826605705,Systemvoraussetzungen: Windows 95/NT; CD-ROM-Laufwerk,
"Christiansen, Tom","Torkington, Nathan",Perl cookbook : [solutions and examples for Perl programmers],book,Perl,1999,Minor corr.,b3kat_BV012856119,,"XXXIV, 757 S.",Beijing [u.a.] : O'Reilly,1565922433,,
"Frank, Simon A.",,Webprogrammierung mit Perl : Übungsbuch mit einer Kurzeinführung in die CGI-Programmierung mit Perl,book,Perl,2008,1. Aufl.,b3kat_BV023244130,,"96 S.; 210 mm x 148 mm, 150 gr.",Norderstedt : Books on Demand,3837013790; 9783837013795,,
"Oualline, Steve",,"Echt coole Perl-Skripte : nützliche Perl-Skripte, die knifflige Probleme lösen",book,Skript; Perl,2006,,b3kat_BV021655163,,"XV, 253 S.; graph. Darst.",München [u.a.] : Hanser,9783446406834,,
"Wall, Larry 1954-","Christiansen, Tom; Schwartz, Randal L. 1961-",Programmieren mit Perl,book,UNIX; Dateiaufbereitung; Desktop-Publishing; Public-domain-Software; Perl,1997,"Dt. Ausg. der 2. Aufl., 1. Aufl.",b3kat_BV021935143,,"XXVI, 668 S.",Cambridge [u.a.] : O'Reilly,3930673487,,
"Vromans, Johan",,Perl 5 : kurz & gut ; [behandelt Perl 5.8],book,Perl,2003,"Dt. Ausg., 4. Aufl.",b3kat_BV021969190,,108 S.,Beijing [u.a.] : O'Reilly,3897212471,,O'Reillys Taschenbibliothek
"Schwartz, Randal L. 1961-","Phoenix, Tom","Learning Perl objects, references and modules : [beyond the basics of learning perl]",book,Modulare Programmierung; Objektorientierte Programmierung; Perl,2003,1. ed.,b3kat_BV021969278,,"XV, 205 S.",Beijing [u.a.] : O'Reilly,0596004788,,
"Cuber, Ulrich",,Administrative Lösungen mit Perl : gerade bei komplexen Aufgaben ist Perl auch unter Windows die erste Wahl ; [Praxishandbuch],book,Perl,2005,,b3kat_BV019761903,,166 S.,Kissing : Interest,382458316X,,Windows-Scripting für Administratoren
"Wainwright, Peter",,Pro Perl : [a comprehensive guide for developers who want to master the Perl programming language],book,Perl,2005,,b3kat_BV019777931,,"XXIII, 1037 S.; Ill.","Berkeley, CA : Apress",159059438X,,The expert's voice in open source
"Duncan, Andy","Still, Jared","Perl for oracle DBAs : [perl scripts, applications & tips for database administrators]",book,Perl; ORACLE 8i; Perl; ORACLE 9i; Perl; ORACLE; Perl,2002,1. ed.,b3kat_BV020860169,,"XVI, 602 S.; graph. Darst. : 24 cm",Beijing ; Cambridge ; Farnham ; Köln ; Paris ; Sebastopol ; Taip : O'Reilly,0596002106,Includes index,
"Schwartz, Randal L. 1961-",,Einführung in Perl,book,Perl,1996,"1. Aufl., 1. überarb. und korr. Nachdr.",b3kat_BV011194272,,"XXX, 272 S.",Köln : O'Reilly,3930673088,,
"Schwartz, Randal L. 1961-","Christiansen, Tom; Olson, Erik",Einführung in Perl für Win32-Systeme,book,Perl,1998,1. Aufl.,b3kat_BV011626544,ger,"XXII, 302 S.",Cambridge [u.a.] : O'Reilly,3897211068,,
"Deep, John","Holfelder, Peter",CGI mit Perl,book,CGI; Perl,1997,1. Aufl.,b3kat_BV011831257,,"XVI, 335 S.; Ill., graph. Darst.; 1 CD-ROM ; 12 cm",Düsseldorf [u.a.] : Sybex,3815520177,,"internet, profi, praxis"
"Schwartz, Randal L. 1961-","Christiansen, Tom",Einführung in Perl,book,Perl,1998,2. Aufl.,b3kat_BV011563306,ger,"XXIX, 287 S.",Cambridge [u.a.] : O'Reilly,389721105X,,
"Srinivasan, Sriram",,Fortgeschrittene Perl-Programmierung,book,Perl,1998,1. Aufl.,b3kat_BV011711659,,"XXIII, 436 S.; Ill., graph. Darst.",Cambridge [u.a.] : O'Reilly,3897211076,,
"Deep, John","Holfelder, Peter",Developing CGI applications with Perl,book,CGI; Perl,1996,,b3kat_BV010833673,,"XIV, 299 S.; Ill.",New York [u.a.] : Wiley,0471141585,,Wiley computing publishing
"Blank-Edelman, David N.",,Perl für System-Administration,book,Perl; Systemverwaltung,2001,"Dt. Ausg., 1. Aufl.",b3kat_BV013653077,ger,"XIV, 461 S.; Ill.",Beijing ; Köln [u.a.] : O'Reilly,3897211459,,
"DuBois, Paul 1956-",,"MySQL & Perl developer's guide : Webanwendungen programmieren mit Perl DBI, mod_perl und CGI",book,MySQL; Perl,2002,,b3kat_BV014214654,,613 S.,München : Markt-und-Technik-Verl.,3827262976,,New technology
"Müller, Udo",,Workshop Perl : [mit CD-ROM und Online-Test!],book,Perl; Perl; Aufgabensammlung; CD-ROM,2002,,b3kat_BV014267092,,"399 S.; Ill., graph. Darst.; 1 CD-ROM (12 cm); 24 cm",München [u.a.] : Addison-Wesley,3827319005,,Workshop
"Klier, Rainer",,Perl,book,Perl; Einführung; Perl 5.6.1,2002,,b3kat_BV014362060,,448 S.; Ill.,München [u.a.] : Addison-Wesley,3827318866,,Nitty gritty
"Callender, John","Callender, John",Perl für Website-Management : [Einführung in Perl für Webmaster & Webdesigner],book,Web-Seite; Gestaltung; Perl; CGI; Skript; Perl; HTML,2002,"1. Aufl., dt. Ausg.",b3kat_BV014728628,ger,"XIX, 554 S.; Ill.",Beijing [u.a.] : O'Reilly,3897211580,,
"Schwartz, Randal L.","Phoenix, Tom; Lang, Jørgen W.",Einführung in Perl,book,Perl; Perl 5.6,2004,"[Dt. Ausg.] der 3. Aufl., 3. korr. Nachdr.",gbv_47441292X,ger,"XIV, 352 S; 23 cm",Beijing [u.a.] : O'Reilly,3897211475,,
"Vromans, Johan",,Perl 5 - kurz & gut,book,Perl 5; Befehlsvorrat; Verzeichnis; Perl,2000,1. Aufl.,b3kat_BV013303152,ger,110 S.,Bijing u.a. : O'Reilly,3897212277,,O'Reillys Taschenbibliothek
"Schwartz, Randal L.","Foy, Brian D.; Phoenix, Tom",Einführung in Perl : [behandelt Perl 5.8],book,Perl; Perl 5.8,2005,"4. Aufl., dt. Ausg. der 4. Aufl.",b3kat_BV024608529,,"XVII, 316 S.; Ill.",Beijing <<[u.a.]>> : O'Reilly,3897214342,,
"Lemay, Laura",,Perl in 21 Tagen : Schritt für Schritt zum Programmierprofi ; viele nützliche Beispiele zu der mächtigen plattformübergreifenden Skriptsprache ; aktuell bis Perl 5.005,book,Perl 5; Perl,2000,,b3kat_BV012779854,ger,"795 S.; Ill.; CD-ROM (12 cm), 1 Bl.",München : Markt-&-Technik-Verl.,3827220386,,... in 21 Tagen
"Wall, Larry 1954-","Schwartz, Randal L. 1961-",Programmieren in Perl : ein Nutshell-Handbuch,book,Perl; Einführung; Perl,1993,,b3kat_BV005883626,,"XVIII, 439 S.; graph. Darst.; 1 Beil.",München [u.a.] : Hanser,0937175641; 3446172572,,
"Christiansen, Tom","Torkington, Nathan",Perl-Kochbuch : [Beispiele und Lösungen für Perl-Programmierer],book,Perl,2000,"1. Aufl., 2., korr. Nachdr., dt. Ausg.",b3kat_BV013186722,,"XXXIV, 798 S.",Beijing [u.a.] : O'Reilly,3897211408,,
